国	ユーザー	新規ユーザー	セッション	直帰率	ページ/セッション	平均セッション時間	お問い合わせ（目標 1 のコンバージョン率）	お問い合わせ（目標 1 の完了数）	お問い合わせ（目標 1 の値）
France	7231	7115	8175	0.62%	3.12	44.08	0.06%	5	0.00
Vietnam	3234	3161	3375	2.93%	2.05	3.73	0.00%	0	0.00
Japan	691	643	1046	0.38%	7.80	271.30	0.29%	3	0.00
United States	105	104	108	0.93%	2.49	42.80	0.93%	1	0.00
Hong Kong	28	27	32	3.13%	2.09	4.56	0.00%	0	0.00
China	24	24	24	0.00%	2.00	0.21	0.00%	0	0.00
South Korea	18	17	19	21.05%	2.63	16.53	0.00%	0	0.00
Canada	15	15	16	0.00%	2.50	3.75	0.00%	0	0.00
Germany	14	14	16	0.00%	2.75	64.63	0.00%	0	0.00
United Kingdom	14	13	16	0.00%	4.50	45.88	0.00%	0	0.00
Switzerland	11	11	14	0.00%	2.71	83.71	0.00%	0	0.00
R?union	10	9	10	0.00%	2.50	13.70	0.00%	0	0.00
Belgium	9	8	10	0.00%	4.10	73.20	0.00%	0	0.00
Singapore	9	9	9	0.00%	2.22	0.44	0.00%	0	0.00
United Arab Emirates	7	7	9	0.00%	2.22	3.56	0.00%	0	0.00
Italy	6	5	18	0.00%	2.83	76.44	0.00%	0	0.00
Romania	6	6	6	0.00%	4.00	16.83	0.00%	0	0.00
Spain	5	5	5	0.00%	3.60	41.40	0.00%	0	0.00
Guadeloupe	5	5	8	0.00%	4.50	148.63	0.00%	0	0.00
Taiwan	5	5	8	0.00%	2.75	60.13	0.00%	0	0.00
Finland	4	4	4	0.00%	6.00	110.50	0.00%	0	0.00
Martinique	4	4	4	25.00%	1.75	0.00	0.00%	0	0.00
Philippines	4	4	5	0.00%	5.60	54.40	0.00%	0	0.00
Sweden	4	4	4	0.00%	4.00	48.75	0.00%	0	0.00
Argentina	3	2	4	0.00%	4.00	8.75	0.00%	0	0.00
French Guiana	3	3	3	0.00%	4.33	43.33	0.00%	0	0.00
Luxembourg	3	3	3	0.00%	5.33	506.00	0.00%	0	0.00
Morocco	3	3	3	0.00%	2.67	4.00	0.00%	0	0.00
Macao	3	2	3	0.00%	2.67	5.33	0.00%	0	0.00
Australia	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
Egypt	2	2	3	0.00%	8.00	498.67	0.00%	0	0.00
Ireland	2	2	2	0.00%	12.00	119.50	0.00%	0	0.00
Laos	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
Monaco	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
Malta	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
Netherlands	2	2	2	0.00%	4.00	17.00	0.00%	0	0.00
Poland	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
Andorra	1	1	1	0.00%	2.00	7.00	0.00%	0	0.00
Austria	1	1	1	0.00%	10.00	71.00	0.00%	0	0.00
St. Barth?lemy	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Brazil	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Belarus	1	1	1	0.00%	10.00	217.00	0.00%	0	0.00
C?te d’Ivoire	1	1	1	0.00%	4.00	38.00	0.00%	0	0.00
Czechia	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Estonia	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Greece	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Indonesia	1	1	1	0.00%	12.00	329.00	0.00%	0	0.00
Israel	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
India	1	1	1	0.00%	4.00	35.00	0.00%	0	0.00
Iran	1	1	1	0.00%	9.00	155.00	0.00%	0	0.00
Lithuania	1	1	1	0.00%	4.00	28.00	0.00%	0	0.00
Mali	1	1	1	0.00%	2.00	1.00	0.00%	0	0.00
Mexico	1	1	1	0.00%	6.00	135.00	0.00%	0	0.00
Malaysia	1	1	2	0.00%	4.00	292.00	0.00%	0	0.00
New Caledonia	1	1	1	0.00%	4.00	429.00	0.00%	0	0.00
Nigeria	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
New Zealand	1	1	1	0.00%	4.00	17.00	0.00%	0	0.00
Pakistan	1	1	1	0.00%	4.00	22.00	0.00%	0	0.00
Portugal	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Serbia	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Russia	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Tunisia	1	1	2	0.00%	3.00	123.00	0.00%	0	0.00
Turkey	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Venezuela	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
(not set)	1	1	1	0.00%	6.00	75.00	0.00%	0	0.00
	11522	11276	13004	1.24%	3.21	51.97	0.07%	9	0.00
